,0
PCA_Net Income to Stockholder's Equity_PCA_Borrowing dependency_Current Liabilities/Equity,0.1674893
Working Capital to Total Assets,0.12654921
Current Assets/Total Assets,0.06488789
Cash/Total Assets,0.051186424
PCA_Operating Profit Rate_Pre-tax net Interest Rate,0.04836034
Quick Assets/Total Assets,0.0469382
PCA_ROA(C) before interest and depreciation before interest_ROA(A) before interest and % after tax,0.039414227
Total income/Total expense,0.033425108
Current Liabilities/Liability,0.03158092
Retained Earnings to Total Assets,0.02959981
Cash Flow to Liability,0.028433908
Interest Expense Ratio,0.02719554
PCA_Debt ratio %_Current Liability to Assets,0.027045391
PCA_Persistent EPS in the Last Four Seasons_Operating Profit Per Share (Yuan Â¥),0.027037904
PCA_Cash flow rate_Operating Funds to Liability,0.023675233
Total expense/Assets,0.01655046
Long-term fund suitability ratio (A),0.015197534
Equity to Long-term Liability,0.013977877
Fixed Assets to Assets,0.012849482
PCA_Cash Reinvestment %_CFO to Assets,0.012519676
Total debt/Total net worth,0.011762428
Cash/Current Liability,0.01154225
Cash Flow to Equity,0.010756588
Cash Flow to Total Assets,0.0107348645
Current Ratio,0.009307436
No-credit Interval,0.008508972
Operating Gross Margin,0.008407299
Degree of Financial Leverage (DFL),0.0083140265
